word,creole_word,creole_name
at,a  ,Saramaccan
in front,a fesi,Saramaccan
on top of,a liba,Saramaccan
yes,aái,Saramaccan
slingshot,abalë́ti,Saramaccan
little,abíti,Saramaccan
soon,abítímö́ön,Saramaccan
sandwasp,adaáun,Saramaccan
cockroach,adabasíi,Saramaccan
toothpaste,adantífi,Saramaccan
mushroom,adikpókpo,Saramaccan
shrimp,adingö,Saramaccan
scorpion,adingö u téla,Saramaccan
spider,adjaansi,Saramaccan
echo,adjaansipíkimi,Saramaccan
rice,adjámtóo,Saramaccan
agouti,"adjasú, akálúbúka, atjawá, bëgogó mbéti, kökö́ni",Saramaccan
bushmaster,adjéna,Saramaccan
porcupine,adjindjá,Saramaccan
ginger,adjíndja,Saramaccan
dew,adjíwáta,Saramaccan
farewell,adjóisi,Saramaccan
butterfly,adömítö,Saramaccan
African,afiikán,Saramaccan
lawyer,afokáti,Saramaccan
envelope,afölö́pu,Saramaccan
chameleon,agama,Saramaccan
crab,agása / agásámëku,Saramaccan
chin,agba,Saramaccan
owl,agbigbi,Saramaccan
knot,agó,Saramaccan
heel,agófútu,Saramaccan
ankle,agófútúwójo,Saramaccan
elbow,agómáun,Saramaccan
needle,agúja,Saramaccan
centipede,ahalala,Saramaccan
hoe,ahö́,Saramaccan
shoulder,ahö́máun,Saramaccan
fontanel,ahumë,Saramaccan
grass,ahún,Saramaccan
eight,áíti,Saramaccan
onion,ajón,Saramaccan
soul,akáa,Saramaccan
alligator,akalé,Saramaccan
heron,akamawái,Saramaccan
here,akí,Saramaccan
wrist,akiikö́ u máun,Saramaccan
tree,akpasa watjí,Saramaccan
Hindustani,akulí,Saramaccan
there,alá,Saramaccan
macaw,alála,Saramaccan
bean,alibí  ,Saramaccan
earthworm,alikpö́,Saramaccan
row,alö,Saramaccan
tadpole,alónaago,Saramaccan
zuurzak,alukutú,Saramaccan
German,Alumán,Saramaccan
hammock,amáka,Saramaccan
tomorrow,amanján,Saramaccan
who,ambë́,Saramaccan
jaguar,ambulúpái,Saramaccan
America,amëëkán,Saramaccan
kerosene,amëëkán óli,Saramaccan
negative,án  ,Saramaccan
ring,andélu,Saramaccan
what,andí,Saramaccan
why?,andí mbéi,Saramaccan
bittern,andolé,Saramaccan
scarf,ángísa,Saramaccan
wool,aniítiputu,Saramaccan
alright,ántoobi  ,Saramaccan
apart,apáiti,Saramaccan
citrus fruit,apeesína,Saramaccan
thigh,asákpáa,Saramaccan
okra,asila,Saramaccan
vinegar,asín,Saramaccan
hiccup,atekúteku,Saramaccan
stilts,atikónko,Saramaccan
grasshopper,atíti,Saramaccan
pilot,aviatë́,Saramaccan
airplane,"aviö́n, opaláni",Saramaccan
trap,aviti  ,Saramaccan
grandparent,avó,Saramaccan
ancestors,avóavo,Saramaccan
Afobaka,Avobáka,Saramaccan
now,awáa  ,Saramaccan
otter,awaapúja,Saramaccan
opossum,awalí,Saramaccan
former,awoo,Saramaccan
firefly,azönkíjënjën,Saramaccan
brother,baáa,Saramaccan
broth,baafu,Saramaccan
broad,baái  ,Saramaccan
black,baáka,Saramaccan
molasses,baáká máási,Saramaccan
grave,baáku  ,Saramaccan
gravedigger,baákuma,Saramaccan
well,baákúwáta,Saramaccan
embrace,baasá,Saramaccan
balloon,baási  ,Saramaccan
watermelon,baasía,Saramaccan
rubber,baatá,Saramaccan
cargo,bagási,Saramaccan
to buy,bái  ,Saramaccan
burst,bái latjá,Saramaccan
balcony,baikö́n,Saramaccan
July,baímátú líba,Saramaccan
bicycle,baisígi,Saramaccan
dance,bajá,Saramaccan
friend,bája,Saramaccan
back,báka  ,Saramaccan
again,"báka, mö́ön",Saramaccan
Holland,Bakáá Kö́ndë,Saramaccan
February,bákájái líba,Saramaccan
placenta,bákama  ,Saramaccan
descendent,bákámíi,Saramaccan
spine,bákámíndí,Saramaccan
later,bákaten,Saramaccan
container for liquids,báki  ,Saramaccan
banana,bakúba,Saramaccan
brother-in-law,balá,Saramaccan
ball,báli,Saramaccan
barrel,balí  ,Saramaccan
bamboo,bambúsi  ,Saramaccan
side,bandja,Saramaccan
cheek,bandjabúka,Saramaccan
rib,bandjapapáíbónu,Saramaccan
groin,bangatí,Saramaccan
chair,bángi,Saramaccan
bankrupt,bangulútu,Saramaccan
bank,bánku,Saramaccan
belt,bánti  ,Saramaccan
boss,bási,Saramaccan
under-captain,basiá,Saramaccan
mask,basikaánu,Saramaccan
broom,basö́ö,Saramaccan
